0000001 002  -----   -----                    
0007999 050  AT      the                      Z5 
0007999 060  NN1     impact                   A2.2 A1.1.1 
0007999 070  IO      of                       Z5 
0007999 080  NN1     migration                M1 
0007999 090  II      on                       Z5 
0007999 100  JJ      economic                 I1.3- I2.1 
0007999 110  NN1     success                  X9.2+ 
0007999 120  II      in                       Z5 
0007999 130  NN1     australia                Z2 
0008001 010  AT      the                      Z5 
0008001 020  NN2     ses                      Z99 
0008001 030  NN1     selectivity              X7+ 
0008001 040  IO      of                       Z5 
0008001 050  RR      interracially            Z99 
0008001 060  JJ      married                  S4 A2.2 
0008001 070  NN2     asians                   Z2/S2mf 
0008003 010  AT      the                      Z5 
0008003 020  NN1     interrelation            Z99 
0008003 030  IO      of                       Z5 
0008003 040  NN1     fertility                B1/S4 
0008003 050  CC      and                      Z5 
0008003 060  JJ      geographic               W3 
0008003 070  NN1     mobility                 M1 I1.1 
0008003 080  II      in                       Z5 
0008003 090  NN1     peru                     Z2 
0008003 100  AT1     a                        Z5 
0008003 110  NN2     hazards                  A15- A1.4 K5 
0008003 120  NN1     model                    O2/A5.4- A4.1 X4.2 A5.1+++ C1/S2mf B5/I3.2/S2mf 
0008003 130  NN1     analysis                 X2.4 Y1 
0008005 010  II      towards                  Z5 
0008005 020  AT1     a                        Z5 
0008005 030  NN1     theory                   X4.1 
0008005 040  IO      of                       Z5 
0008005 050  JJ      ethnic                   S5+ 
0008005 060  NN1     identity                 S2 A6.1+ Q1.2 
0008005 070  CC      and                      Z5 
0008005 080  NN1     migration                M1 
0008005 090  AT      the                      Z5 
0008005 100  NN1     formation                A2.1+ O4.4 S5+c 
0008005 110  IO      of                       Z5 
0008005 120  JJ      ethnic                   S5+ 
0008005 130  NN2     enclaves                 M7 
0008005 140  II      by                       Z5 
0008005 150  NN1     migrant                  M1/S2mf 
0008005 160  NN2     germans                  Z2/S2mf 
0008005 170  II      in                       Z5 
0008005 180  NN1     russia                   Z2 
0008005 190  CC      and                      Z5 
0008005 200  ND1     north                    M6 
0008005 210  NN1     america                  Z2 
0008007 010  VVG     using                    A1.5.1 S7.1+ 
0008007 020  NNU2    ins                      N3.3 N3.7 
0008007 030  NN1     border                   M7/G1.1 O2 B5 L3/H3 
0008007 040  NN1     apprehension             E6- A9+ G2.1 
0008007 050  NN      data                     X2.2/X2.4 Q1.1 
0008007 060  TO      to                       Z5 
0008007 070  VVI     measure                  N3.1 
0008007 080  AT      the                      Z5 
0008007 090  NN1     flow                     M4 M1 N5 
0008007 100  IO      of                       Z5 
0008007 110  JJ      undocumented             Q1.2- X2.2- 
0008007 120  NN2     migrants                 M1/S2mf 
0008007 130  VVG     crossing                 M1 M6 S8- A1.8+ A6.3+ F4/L2 O4.4 Q1.2 E3- S1.1.1 S9@ 
0008007 140  AT      the                      Z5 
0008007 150  JJ      us-mexico                Z99 
0008007 160  NN1     frontier                 M7 A1.7+ 
0008009 010  AT      the                      Z5 
0008009 020  NN1     age                      T3 T1.3 
0008009 030  IO      of                       Z5 
0008009 040  NN1     migration                M1 
0008009 050  JJ      international            M7 
0008009 060  NN1     population               S2/N5c 
0008009 070  NN2     movements                M1 S5+c K2 A2.1+ 
0008009 080  II      in                       Z5 
0008009 090  AT      the                      Z5 
0008009 100  JJ      modern                   T3- 
0008009 110  NN1     world                    W1 S5+c A4.1 N5+ 
0008011 010  NN1     immigration              M1/M7 
0008011 020  NN1     nationality              G1.1c S5+c 
0008011 030  CC      and                      Z5 
0008011 040  NN1     citizenship              G1.1 S5+ 
0008013 010  NN2     challenges               A12- A6.1- S7.3+ E3- 
0008013 020  IO      of                       Z5 
0008013 030  AT1     a                        Z5 
0008013 040  JJ      changing                 A2.1+ 
0008013 050  NN1     america                  Z2 
0008013 060  NN2     perspectives             X4.1 C1 
0008013 070  II      on                       Z5 
0008013 080  NN1     immigration              M1/M7 
0008013 090  CC      and                      Z5 
0008013 100  NN1     multiculturalism         S5+/N5+ 
0008013 110  II      in                       Z5 
0008013 120  AT      the                      Z5 
0008013 130  JJ      united                   Z2c[i387.2.1 S5+ 
0008013 140  NN2     states                   Z2c[i387.2.2 G1.1c O4.1 
0008015 010  JJ      immigrant                M1/M7/S2mf 
0008015 020  NN1     life                     L1+ A3+ T1.3 S1.1.1 A1.1.1 X5.2+ Q4.1 A11.1+++ A5.4+/C1 
0008015 030  II      in                       Z5 
0008015 040  JJ      new                      T3- 
0008015 050  VV0     york                     Z2 Z1mf 
0008015 060  NN1     city                     M7c M7/I2.1c 
0008015 070  MC      1825                     N1[i388.2.1 T3[i388.2.1 T1.2[i388.2.1 T1.3[i388.2.1 N3.3[i388.2.1 N3.5[i388.2.1 I1[i388.2.1 N1 T1.2 T3 T1.3 N3.2 
0008015 080  MC      1863                     N1[i388.2.2 T3[i388.2.2 T1.2[i388.2.2 T1.3[i388.2.2 N3.3[i388.2.2 N3.5[i388.2.2 I1[i388.2.2 N1 T1.2 T3 T1.3 N3.2 
0008017 010  AT      the                      Z5 
0008017 020  NN1     columbus                 Z1m Z2 
0008017 030  NN      people                   S2mfc 
0008017 040  NN2     perspectives             X4.1 C1 
0008017 050  II      in                       Z5 
0008017 060  JJ      italian                  Z2 Z2/Q3 
0008017 070  NN1     immigration              M1/M7 
0008017 080  II      to                       Z5 
0008017 090  AT      the                      Z5 
0008017 100  NN2     americas                 Z2 
0008017 110  CC      and                      Z5 
0008017 120  NN1     australia                Z2 
0008019 010  NN2     italians                 Z2/S2mf F1 
0008019 020  II      in                       Z5 
0008019 030  AT      the                      M7[i389.3.1 Z5 
0008019 040  JJ      deep                     M7[i389.3.2 N3.7+ N5+ O4.3 A4.2+ E4.1- X3.2 
0008019 050  ND1     south                    M7[i389.3.3 M6 
0008019 060  APPGE   their                    Z8 
0008019 070  NN1     impact                   A2.2 A1.1.1 
0008019 080  II      on                       Z5 
0008019 090  NN1     birmingham               Z2 
0008019 100  CC      and                      Z5 
0008019 110  AT      the                      Z5 
0008019 120  NN1     american                 Z2/S2mf 
0008019 130  NN1     heritage                 A9+/S1.1.1 T1.1.1 
0008021 010  NN1     europe                   Z2 
0008021 020  CC      and                      Z5 
0008021 030  JJ      international            M7 
0008021 040  NN1     migration                M1 
0008023 010  II      from                     Z5 
0008023 020  AT      the                      Z5 
0008023 030  JJ      old                      T3+ Z4 
0008023 040  NN1     country                  G1.1c W3 F4/M7 K2 
0008023 050  AT1     an                       Z5 
0008023 060  JJ      oral                     B1 Q2.1 
0008023 070  NN1     history                  T1.1.1 P1/T1.1.1 Q2.1 B2 
0008023 080  IO      of                       Z5 
0008023 090  JJ      european                 Z2 
0008023 100  NN1     migration                M1 
0008023 110  II      to                       Z5 
0008023 120  NN1     america                  Z2 
0008025 010  VVG     leaving                  M1 M2 A1.1.1 A1.9 A9- T2- 
0008025 020  NN1     england                  Z2 Z1mf 
0008025 030  NN2     essays                   Q1.2/P1 Q1.2 X8+ 
0008025 040  II      on                       Z5 
0008025 050  JJ      british                  Z2 Z2/S2mfnc 
0008025 060  NN1     emigration               M1/M7 
0008025 070  II      in                       Z5 
0008025 080  AT      the                      Z5 
0008025 090  MD      nineteenth               T1.3[i390.2.1 N4 
0008025 100  NNT1    century                  T1.3[i390.2.2 T1.3 K5.1% 
0008027 010  JJ      recent                   T3- 
0008027 020  NN1     migration                M1 
0008027 030  NN2     trends                   A6.2+ A2.1+ 
0008027 040  II      in                       Z5 
0008027 050  NN1     europe                   Z2 
0008027 060  VV0     europe                   Z2 
0008027 070  JJ      new                      T3- 
0008027 080  NN1     architecture             H1 O4.1 
0008029 010  FW      italia                   Z2 
0008029 020  ZZ1     y                        Z5 
0008029 030  NN1     america                  Z2 
0008031 010  NN1     migration                M1 
0008031 020  NN      dynamics                 X4.2 M1 Y1 
0008031 030  AT1     a                        Z5 
0008031 040  NN1     life                     L1+/P1[i391.2.1 L1+ A3+ T1.3 S1.1.1 A1.1.1 X5.2+ Q4.1 A11.1+++ A5.4+/C1 
0008031 050  NN1     course                   L1+/P1[i391.2.2 M6 X7+ P1 B3 F1 M7/K5.1 T1.3 
0008031 060  NN1     approach                 X4.2 M1 E1 S1.1.1 
0008033 010  NN1     ethnicity                S5+ 
0008033 020  CC      and                      Z5 
0008033 030  NN1     nationalism              G1.2/M7 
0008033 040  NN1     theory                   X4.1 
0008033 050  CC      and                      Z5 
0008033 060  NN1     comparison               A6.1 
0008035 010  JJ      international            M7 
0008035 020  NN1     newsletter               Q4.2 
0008035 030  II      on                       Z5 
0008035 040  NN1     migration                M1 
0008037 010  AT      the                      Z5 
0008037 020  JJ      uncertain                A7- 
0008037 030  NN1     connection               A2.2/Z6[i392.2.1 A2.2 S5+ M3 O3 A1.1.1 
0008037 040  JJ      free                     A2.2/Z6[i392.2.2 S6- A1.7- A1.5.1- I1.3- I2.2[i393.2.1 I2.1c/S5-[i393.2.1 
0008037 050  NN1     trade                    I2.2 I2.1 I3.1 I2.2/N5 I2.2[i393.2.2 I2.1c/S5-[i393.2.2 
0008037 060  CC      and                      Z5 
0008037 070  JJ      rural                    F4/M7 
0008037 080  NN1     mexican                  Z2/S2mf 
0008037 090  NN1     migration                M1 
0008037 100  II      to                       Z5 
0008037 110  AT      the                      Z5 
0008037 120  JJ      united                   Z2c[i394.2.1 S5+ 
0008037 130  NN2     states                   Z2c[i394.2.2 G1.1c O4.1 
0008039 010  VVG     implementing             A1.1.1 A9-/O2 
0008039 020  AT      the                      Z5 
0008039 030  PPIO2   us                       Z8 
0008039 040  NN1     legalization             Z99 
0008039 050  NN1     program                  Y2 X7+ Q4.3 Q1.2 P1 
0008039 060  AT      the                      Z5 
0008039 070  NN1     influence                S7.1+ A2.2 
0008039 080  IO      of                       Z5 
0008039 090  JJ      immigrant                M1/M7/S2mf 
0008039 100  NN2     communities              S5+ 
0008039 110  CC      and                      Z5 
0008039 120  JJ      local                    M7 
0008039 130  NN2     agencies                 I2.2/S5+c G1.1c 
0008039 140  II      on                       Z5 
0008039 150  NN1     immigration              M1/M7 
0008039 160  NN1     policy                   X7+ Q1.2 
0008039 170  NN1     reform                   A2.1+ 
0008041 010  AT      the                      Z5 
0008041 020  NN1     choice                   X7+ A6.3+ 
0008041 030  IO      of                       Z5 
0008041 040  NN1     migration                M1 
0008041 050  NN1     destination              M6 
0008041 060  NN1     dominican                S9/S2mf Z3c 
0008041 070  CC      and                      Z5 
0008041 080  JJ      cuban                    Z2 
0008041 090  NN2     immigrants               M1/M7/S2mf 
0008041 100  II      to                       Z5 
0008041 110  AT      the                      Z5 
0008041 120  NN1     mainland                 W3 
0008041 130  JJ      united                   Z2c[i395.2.1 S5+ 
0008041 140  NN2     states                   Z2c[i395.2.2 G1.1c O4.1 
0008041 150  CC      and                      Z5 
0008041 160  NN1     puerto                   Z99 
0008041 170  NN1     rico                     Z1m 
0008043 010  JJ      demographic              S5+ 
0008043 020  CC      and                      Z5 
0008043 030  JJ      socioeconomic            S1.1.1/I2.1 
0008043 040  NN2     determinants             A2.2 N2 
0008043 050  IO      of                       Z5 
0008043 060  JJ      female                   S2.1 
0008043 070  JJ      rural                    F4/M7 
0008043 080  II      to                       Z5 
0008043 090  JJ      urban                    M7 
0008043 100  NN1     migration                M1 
0008043 110  II      in                       Z5 
0008043 120  JJ      sub-saharan              Z99 
0008043 130  NN1     africa                   Z2 
0008045 010  JJ      circulatory              B1 
0008045 020  NN1     mobility                 M1 I1.1 
0008045 030  II      in                       Z5 
0008045 040  JJ      post-mao                 Z99 
0008045 050  NN1     china                    O1.1 O2 Z2 
0008045 060  JJ      temporary                T1.3 
0008045 070  NN2     migrants                 M1/S2mf 
0008045 080  II      in                       Z5 
0008045 090  VVG     kaiping                  Z99 
0008045 100  NN1     county                   M7 
0008045 110  NN1     pearl                    O1.1 
0008045 120  NN1     river                    W3/M4 N5+ 
0008045 130  NN1     delta                    Z3c 
0008045 140  NN1     region                   M7 B1 
0008047 010  VM      will                     T1.1.3 
0008047 020  AT1     a                        Z5 
0008047 030  JJ      large-scale              N3.2+ N5+ 
0008047 040  NN1     migration                M1 
0008047 050  IO      of                       Z5 
0008047 060  NN2     russians                 Z2/S2mf 
0008047 070  II      to                       Z5 
0008047 080  AT      the                      Z5 
0008047 090  JJ      russian                  Z2 
0008047 100  NN1     republic                 G1.2 S5+/M7 
0008047 110  VV0     take                     A1.1.1[i396.2.1 A9+ T1.3 C1 A1.1.1 M2 S7.1- A2.1+ X2.4 S6+ S7.4+ N3 P1 M1 X2.5+ F1@ F2@ Q1.2@ B3@ A1.1.1[i397.2.1 
0008047 120  NN1     place                    A1.1.1[i396.2.2 M7 H1 A1.2 P1 A1.1.1[i397.2.2 
0008047 130  II      over                     Z5 
0008047 140  AT      the                      Z5 
0008047 150  JJ      current                  T1.1.2 
0008047 160  NNT1    decade                   T1.3 
0008049 010  NN1     us-mexico                Z99 
0008049 020  NN2     relations                A2.2 S1.1.1 S4 S3.2 
0008049 030  VV0@    labor                    A1.1.1/A12- A11.1+/N5.2+ 
0008049 040  NN1     market                   I2.2 I2.2/H1 
0008049 050  NN1     interdependence          S7.1- A2.2 
0008051 010  NN2     aspects                  A4.1 A8 M6 
0008051 020  IO      of                       Z5 
0008051 030  NN1     extradition              G2.1/M2 
0008051 040  NN1     law                      G2.1 S6+ Y1 
0008053 010  NN2     immigrants               M1/M7/S2mf 
0008053 020  NN2     markets                  I2.2 I2.2/H1 
0008053 030  CC      and                      Z5 
0008053 040  VVZ     states                   Q2.1 
0008053 050  AT      the                      Z5 
0008053 060  JJ      political                G1.2 
0008053 070  NN1     economy                  I2.1 I1.3- 
0008053 080  IO      of                       Z5 
0008053 090  JJ      postwar                  T1.3 
0008053 100  NN1     europe                   Z2 
0008055 010  NN1     life                     L1+ A3+ T1.3 S1.1.1 A1.1.1 X5.2+ Q4.1 A11.1+++ A5.4+/C1 
0008055 020  CC      and                      Z5 
0008055 030  NN1     labor                    A1.1.1 A12- I3.1/S5+ B1 
0008055 040  II      on                       Z5 
0008055 050  AT      the                      Z5 
0008055 060  NN1     border                   M7/G1.1 O2 B5 L3/H3 
0008055 070  VVG     working                  I3.1 A1.1.1 X9.2+ A2.1+ A2.2 
0008055 080  NN      people                   S2mfc 
0008055 090  IO      of                       Z5 
0008055 100  JJ      northeastern             M6 
0008055 110  NN1     sonora                   Z99 
0008055 120  NN1     mexico                   Z2 Z3c 
0008055 130  MC      1886                     N1[i398.2.1 T3[i398.2.1 T1.2[i398.2.1 T1.3[i398.2.1 N3.3[i398.2.1 N3.5[i398.2.1 I1[i398.2.1 N1 T1.2 T3 T1.3 N3.2 
0008055 140  MC      1986                     N1[i398.2.2 T3[i398.2.2 T1.2[i398.2.2 T1.3[i398.2.2 N3.3[i398.2.2 N3.5[i398.2.2 I1[i398.2.2 N1 T1.2 T3 T1.3 N3.2 
0008057 010  JJ      asian                    Z2 
0008057 020  NN1     american                 Z2/S2mf 
0008057 030  NN1     panethnicity             Z99 
0008057 040  VVG     bridging                 T1.3- H1 
0008057 050  NN2     institutions             S5+c S7.1+ H1c S1.1.1 T2+ 
0008057 060  CC      and                      Z5 
0008057 070  NN2     identities               S2 A6.1+ Q1.2 
0008059 010  AT      the                      Z5 
0008059 020  NN1     georgia                  Z2 Z1f 
0008059 030  NN1     dutch                    Z2/Q3 
0008059 040  II      from                     Z5 
0008059 050  AT      the                      Z5 
0008059 060  NN1     rhine                    Z2 
0008059 070  CC      and                      Z5 
0008059 080  VV0     danube                   Z99 
0008059 090  II      to                       Z5 
0008059 100  AT      the                      Z5 
0008059 110  NN1     savannah                 Z99 
0008059 120  MC      1733                     N1[i399.2.1 T3[i399.2.1 T1.2[i399.2.1 T1.3[i399.2.1 N3.3[i399.2.1 N3.5[i399.2.1 I1[i399.2.1 N1 T1.2 T3 T1.3 N3.2 
0008059 130  MC      1783                     N1[i399.2.2 T3[i399.2.2 T1.2[i399.2.2 T1.3[i399.2.2 N3.3[i399.2.2 N3.5[i399.2.2 I1[i399.2.2 N1 T1.2 T3 T1.3 N3.2 
0008061 010  JJ      italian                  Z2 Z2/Q3 
0008061 020  NN2     prisoners                G3/S2mf[i400.3.1 G2.1/S2mf A1.7+/S2mf 
0008061 030  IO      of                       G3/S2mf[i400.3.2 Z5 
0008061 040  NN1     war                      G3/S2mf[i400.3.3 G3 S7.3 
0008061 050  II      in                       Z5 
0008061 060  NN1     america                  Z2 
0008061 070  MC      1942                     N1[i401.2.1 T3[i401.2.1 T1.2[i401.2.1 T1.3[i401.2.1 N3.3[i401.2.1 N3.5[i401.2.1 I1[i401.2.1 N1 T1.2 T3 T1.3 N3.2 
0008061 080  MC      1946                     N1[i401.2.2 T3[i401.2.2 T1.2[i401.2.2 T1.3[i401.2.2 N3.3[i401.2.2 N3.5[i401.2.2 I1[i401.2.2 N1 T1.2 T3 T1.3 N3.2 
0008061 090  NN2     captives                 A1.7+/S2mf 
0008061 100  CC      or                       Z5 
0008061 110  VVZ@    allies                   S1.1.3+ S8+ S5+ 
0008063 010  AT      the                      Z5 
0008063 020  NN1     polish                   Z2/Q3 
0008063 030  NN1     experience               X2.2+ X9.1+ I3.2 A2.1+/A3+ X3 
0008063 040  II      in                       Z5 
0008063 050  NN1     detroit                  Z2 
0008065 010  NN2     emigrants                M1/M7/S2mf 
0008065 020  II      in                       A1.7+[i402.2.1 Z5 
0008065 030  NN2     chains                   A1.7+[i402.2.2 S5+/I2.1c O2 N4 B5 S7.1 
0008065 040  AT1     a                        Z5 
0008065 050  JJ      social                   S1.1.1 
0008065 060  NN1     history                  T1.1.1 P1/T1.1.1 Q2.1 B2 
0008065 070  IO      of                       Z5 
0008065 080  JJ      forced                   S7.1+ A5.4- 
0008065 090  NN1     emigration               M1/M7 
0008065 100  II      to                       Z5 
0008065 110  AT      the                      Z5 
0008065 120  NN2     americas                 Z2 
0008065 130  IO      of                       Z5 
0008065 140  NN2     felons                   G2.1-/S2mf 
0008065 150  JJ      destitute                I1.1- 
0008065 160  NN2     children                 S2mf/T3- S4mf 
0008065 170  JJ      political                G1.2 
0008065 180  CC      and                      Z5 
0008065 190  JJ      religious                S9 
0008065 200  NN2     non-conformists          A6.2-/S2mf S9/S2mf 
0008065 210  NN2     vagabonds                S2mf 
0008065 220  NN2     beggars                  I1.1-/S2mf 
0008065 230  CC      and                      S2mf[i403.2.1 Z5 
0008065 240  JJ      other                    S2mf[i403.2.2 A6.1- 
0008065 250  NN2     undesirables             O4.2- X7- 
0008065 260  MC      1607                     N1[i404.2.1 T3[i404.2.1 T1.2[i404.2.1 T1.3[i404.2.1 N3.3[i404.2.1 N3.5[i404.2.1 I1[i404.2.1 N1 T1.2 T3 T1.3 N3.2 
0008065 270  MC      1776                     N1[i404.2.2 T3[i404.2.2 T1.2[i404.2.2 T1.3[i404.2.2 N3.3[i404.2.2 N3.5[i404.2.2 I1[i404.2.2 N1 T1.2 T3 T1.3 N3.2 
0008067 010  NN1     pot                      O2 O1.1 I1.1 F3 
0008067 020  NN1     slovenskih               Z99 
0008067 030  VV0     izseljencev              Z99 
0008067 040  FU      na                       Z5 
0008067 050  JJ      tuje                     Z99 
0008067 060  JJ      slovene                  Z2 
0008067 070  NN1     emigration               M1/M7 
0008067 080  II      to                       Z5 
0008067 090  NN1     america                  Z2 
0008069 010  NN1     african                  Z2/S2mf 
0008069 020  NN2     emigres                  Z99 
0008069 030  II      in                       Z5 
0008069 040  AT      the                      Z5 
0008069 050  JJ      united                   Z2c[i405.2.1 S5+ 
0008069 060  NN2     states                   Z2c[i405.2.2 G1.1c O4.1 
0008069 070  AT1     a                        Z5 
0008069 080  JJ      missing                  A3- A10- A9- 
0008069 090  NN1     link                     A2.2 S5+ M3 Q1.3 F1 K5.1/M7% 
0008069 100  II      in                       Z5 
0008069 110  NN1     africa                   Z2 
0008069 120  JJ      social                   S1.1.1 
0008069 130  CC      and                      Z5 
0008069 140  JJ      economic                 I1.3- I2.1 
0008069 150  NN1     development              A2.1+ A5.1+/A2.1 H1 
0008071 010  JJ      racial                   S5+ 
0008071 020  NN1     discrimination           A6.1- G2.2- 
0008071 030  II      against                  Z5 
0008071 040  JJ      overseas                 M6 
0008071 050  NN2     indians                  Z2/S2mf 
0008071 060  AT1     a                        Z5 
0008071 070  NN1     class                    P1c A4.1 S5+c O4.2+ 
0008071 080  NN1     analysis                 X2.4 Y1 
0008073 010  JJ      international            M7 
0008073 020  NN1     newsletter               Q4.2 
0008073 030  II      on                       Z5 
0008073 040  NN1     migration                M1 
0008075 010  AT      the                      Z5 
0008075 020  NN1     explosiveness            Z99 
0008075 030  IO      of                       Z5 
0008075 040  NN1     chain                    S5+/I2.1c O2 N4 B5 S7.1 
0008075 050  NN1     migration                M1 
0008075 060  NN1     research                 X2.4 
0008075 070  CC      and                      Z5 
0008075 080  NN1     policy                   X7+ Q1.2 
0008075 090  NN2     issues                   X4.1 Q4.2 S4 A9- 
0008075 100  NN1     introduction             T2+ Q4 S1.1.1 
0008075 110  CC      and                      Z5 
0008075 120  NN1     overview                 X2.5+ 
0008077 010  VVG     estimating               X6/A7- N2/A7- 
0008077 020  AT      the                      Z5 
0008077 030  NN1     immigration              M1/M7 
0008077 040  NN1     multiplier               N5+/A2.1 
0008077 050  AT1     an                       Z5 
0008077 060  NN1     analysis                 X2.4 Y1 
0008077 070  IO      of                       Z5 
0008077 080  JJ      recent                   T3- 
0008077 090  NN1     korean                   Z2/S2mf Z2/Q3 
0008077 100  CC      and                      Z5 
0008077 110  NN1     filipino                 Z2/S2mf 
0008077 120  NN1     immigration              M1/M7 
0008077 130  II      to                       Z5 
0008077 140  AT      the                      Z5 
0008077 150  JJ      united                   Z2c[i406.2.1 S5+ 
0008077 160  NN2     states                   Z2c[i406.2.2 G1.1c O4.1 
0008079 010  AT      the                      Z5 
0008079 020  NN1     process                  A1.1.1 X4.2 
0008079 030  IO      of                       Z5 
0008079 040  JJ      exempt                   S6- 
0008079 050  JJ      immediate                N3.8+ T1.1.2/A11.1+ N4 N3.3- S4 
0008079 060  JJ      relative                 A13 A6 
0008079 070  NN1     immigration              M1/M7 
0008079 080  II      to                       Z5 
0008079 090  AT      the                      Z5 
0008079 100  JJ      united                   Z2c[i407.2.1 S5+ 
0008079 110  NN2     states                   Z2c[i407.2.2 G1.1c O4.1 
0008081 010  VVZ@    sponsors                 A9-/I1.1 S8+ 
0008081 020  NN1     sponsorship              A9-/I1.1 S8+ 
0008081 030  NN2     rates                    N3.8 N5 I1.3 
0008081 040  CC      and                      Z5 
0008081 050  AT      the                      Z5 
0008081 060  NN1     immigration              M1/M7 
0008081 070  NN1     multiplier               N5+/A2.1 
0008083 010  JJ      skeptical                A5.1-/X2.1 
0008083 020  NN2     noises                   X3.2 
0008083 030  II      about                    Z5 
0008083 040  AT      the                      Z5 
0008083 050  NN1     immigration              M1/M7 
0008083 060  NN1     multiplier               N5+/A2.1 
0008085 010  JJ      current                  T1.1.2 
0008085 020  NN1     policy                   X7+ Q1.2 
0008085 030  VVZ     concerns                 E6- A1.8+ S1.1.3+ 
0008085 040  II      on                       Z5 
0008085 050  NN1     immigration              M1/M7[i408.2.1 M1/M7 
0008087 010  NN2     factors                  M1/M7[i408.2.2 A2.2 A4.1 N2 I2.1/S2mf@ 
0008087 020  II      in                       Z5 
0008087 030  AT      the                      Z5 
0008087 040  JJ      residential              H4 
0008087 050  NN2     choices                  X7+ A6.3+ 
0008087 060  IO      of                       Z5 
0008087 070  JJ      self-settled             Z99 
0008087 080  NN1     afghan                   Z2/S2mf 
0008087 090  NN2     refugees                 M1/S2mf 
0008087 100  II      in                       Z5 
0008087 110  NN1     peshawar                 Z2 
0008087 120  NN1     pakistan                 Z2 
0008089 010  AT1     a                        Z5 
0008089 020  NN1     profile                  B1 Q1.1 
0008089 030  IO      of                       Z5 
0008089 040  NN2     emigrants                M1/M7/S2mf 
0008089 050  II      from                     Z5 
0008089 060  ND1     south                    M6 
0008089 070  NN1     africa                   Z2 
0008089 080  AT      the                      Z5 
0008089 090  JJ      australian               Z2 
0008089 100  NN1     case                     A4.1 O2 G2.1 B3 X4.1 Q3 
0008091 010  JJ      contemporary             T1.1.2 
0008091 020  NN1     american                 Z2/S2mf 
0008091 030  NN2     immigrants               M1/M7/S2mf 
0008091 040  NN2     patterns                 X4.2 O4.1 O4.3 B5/Q1.2 
0008091 050  IO      of                       Z5 
0008091 060  NN1     filipino                 Z2/S2mf 
0008091 070  NN1     korean                   Z2/S2mf Z2/Q3 
0008091 080  CC      and                      Z5 
0008091 090  NN1     chinese                  Z2/Q3 Z2/S2mf 
0008091 100  NN1     settlement               T2+[i409.2.1 M7 Q2.2 I1.2 
0008091 110  II      in                       T2+[i409.2.2 Z5 
0008091 120  AT      the                      Z5 
0008091 130  JJ      united                   Z2c[i410.2.1 S5+ 
0008091 140  NN2     states                   Z2c[i410.2.2 G1.1c O4.1 
0008093 010  NN2     strangers                X2.2-/S2mf 
0008093 020  II      in                       Z5 
0008093 030  AT      the                      Z5 
0008093 040  NN1     land                     W3 M7 
0008093 050  NN2     patterns                 X4.2 O4.1 O4.3 B5/Q1.2 
0008093 060  IO      of                       Z5 
0008093 070  NN1     american                 Z2/S2mf 
0008093 080  NN1     nativism                 Z99 
0008093 090  MC      1860                     N1[i411.2.1 T3[i411.2.1 T1.2[i411.2.1 T1.3[i411.2.1 N3.3[i411.2.1 N3.5[i411.2.1 I1[i411.2.1 N1 T1.2 T3 T1.3 N3.2 
0008093 100  MC      1925                     N1[i411.2.2 T3[i411.2.2 T1.2[i411.2.2 T1.3[i411.2.2 N3.3[i411.2.2 N3.5[i411.2.2 I1[i411.2.2 N1 T1.2 T3 T1.3 N3.2 
0008095 010  AT      the                      Z5 
0008095 020  JJT     strongest                S1.2.5+++ N5+++ A5.1+++ X5.2+++ S7.1+++ X9.1+++ O4.1 S1.2.3+++ 
0008095 030  NN1     part                     N5.1- O2 M7 I3.1 S1.1.3+ K4 
0008095 040  IO      of                       Z5 
0008095 050  AT      the                      Z5 
0008095 060  NN1     family                   S4c A4.1c 
0008095 070  AT1     a                        Z5 
0008095 080  NN1     study                    P1 X2.4 H2 Q1.2 C1 
0008095 090  IO      of                       Z5 
0008095 100  NN1     lao                      Z2/S2mf 
0008095 110  NN1     refugee                  M1/S2mf 
0008095 120  NN2     women                    S2.1f 
0008095 130  II      in                       Z5 
0008095 140  NN1     columbus                 Z1m Z2 
0008095 150  NN1     ohio                     Z2 
0008097 010  II      from                     Z5 
0008097 020  VVG     working                  I3.1 A1.1.1 X9.2+ A2.1+ A2.2 
0008097 030  NN2     daughters                S4f 
0008097 040  II      to                       Z5 
0008097 050  JJ      working                  I3.1 A1.1.1 X9.2+ 
0008097 060  NN2     mothers                  S4f 
0008097 070  JJ      immigrant                M1/M7/S2mf 
0008097 080  NN2     women                    S2.1f 
0008097 090  II      in                       Z5 
0008097 100  AT1     a                        Z5 
0008097 110  JJ      new                      T3- 
0008097 120  NN1     england                  Z2 Z1mf 
0008097 130  JJ      industrial               I4 
0008097 140  NN1     community                S5+c 
0008099 010  II      from                     Z5 
0008099 020  NN1     steerage                 Z99 
0008099 030  II      to                       Z5 
0008099 040  NN1     suburb                   H4/M7 
0008099 050  JJ      long                     N3.7+ T1.3+ N3.3+ N3.2+ 
0008099 060  NN1     island                   W3 
0008099 070  NN2     italians                 Z2/S2mf F1 
0008101 010  AT1     a                        Z5 
0008101 020  NNT1    century                  T1.3 K5.1% 
0008101 030  IO      of                       Z5 
0008101 040  JJ      urban                    M7 
0008101 050  NN1     life                     L1+ A3+ T1.3 S1.1.1 A1.1.1 X5.2+ Q4.1 A11.1+++ A5.4+/C1 
0008101 060  AT      the                      Z5 
0008101 070  NN2     norwegians               Z2/S2mf 
0008101 080  II      in                       Z5 
0008101 090  NN1     chicago                  Z2 Z3c 
