AU,TI,PY,JO
"Langberg, Laura",A Review of Recent OAS Research on Human Trafficking in the Latin American and Caribbean Region,2005,International Migration
"Ali, A.K.M. Masud",Treading along a Treacherous Trail: Research on Trafficking in Persons in South Asia,2005,International Migration
"Lee, June JH","Human Trafficking in East Asia: Current Trends, Data Collection, and Knowledge Gaps",2005,International Migration
"Piper, Nicola",A Problem by a Different Name? A Review of Research on Trafficking in South-East Asia and Oceania,2005,International Migration
"Kelly, Liz",“You Can Find Anything You Want”: A Critical Reflection on Research on Trafficking in Persons within and into Europe,2005,International Migration
"Calandruccio, Giuseppe",A Review of Recent Research on Human Trafficking in the Middle East1,2005,International Migration
"MacDonnell, Margaret",Second Conference on Identifying and Serving Child Victims of Trafficking,2005,International Migration
"Salaff, Janet W.",Cluster Introduction1,2005,International Migration
"Li, Peter S.","The Rise and Fall of Chinese Immigration to Canada: Newcomers from Hong Kong Special Administrative Region of China1 and Mainland China, 1980–20002",2005,International Migration
"Lo, Lucia",Chinese Immigrants in Canada: Their Changing Composition and Economic Performance1,2005,International Migration
"Ip, David",Diversification and Extensible Networks: The Strategies of Chinese Businesses in Australia1,2005,International Migration
"Nagata, Judith",Christianity among Transnational Chinese: Religious versus (Sub)ethnic Affiliation,2005,International Migration
"Hazen, Helen D.",“There are always two voices…”: International Students' Intentions to Stay in the United States or Return to their Home Countries,2005,International Migration
"Lowell, B. Lindsay",Declining Numbers of Foreign Students and America's Science and Engineering Enterprise,2005,International Migration
"Gomez, Fanny",Canadian Policy on Human Trafficking: A Four-year Analysis1,2005,International Migration
"Broekaert, Eric",On the Way to a Better Future: Belgium as Transit Country for Trafficking and Smuggling of Unaccompanied Minors1,2005,International Migration
"Bastia, Tanja",Child Trafficking or Teenage Migration? Bolivian Migrants in Argentina,2005,International Migration
"Menjívar, Cecilia","Unpacking Longings to Return: Guatemalans and Salvadorans in Phoenix, Arizona1",2005,International Migration
"Pantoja, Adrian D.","Transnational Ties and Immigrant Political Incorporation: The Case of Dominicans in Washington Heights, New York1",2005,International Migration
"Cohen, Jeffrey H.",Generations and Motivations: Russian and other Former Soviet Immigrants in Costa Rica,2005,International Migration
"Kalir, Barak",The Development of a Migratory Disposition: Explaining a “New Emigration”,2005,International Migration
"Sirkeci, Ibrahim",War in Iraq: Environment of Insecurity and International Migration,2005,International Migration
"Wakabayashi, Chizuko","Immigration Policy and Employment Conditions of US Immigrants from Mexico, Nicaragua, and the Dominican Republic1",2005,International Migration
"Lai, Yew-Wah",The Causes and Consequences of Immigrant Labour in the Construction Sector in Malaysia,2005,International Migration
"Wyss, Simone",Migration Patterns and Remittance Transfer in Nepal: A Case Study of Sainik Basti in Western Nepal,2005,International Migration
"Ackers, Louise",Moving People and Knowledge: Scientific Mobility in the European Union1,2005,International Migration
"Morano-Foadi, Sonia","Scientific Mobility, Career Progression, and Excellence in the European Research Area1",2005,International Migration
"Ibrahim, Maggie",The Securitization of Migration: A Racial Discourse1,2005,International Migration
"Omelaniuk, Irena",Best Practices to Manage Migration: China,2005,International Migration
"Martin, Susan",GCIM: A New Global Migration Facility,2006,International Migration
"Grant, Stefanie",GCIM Report: Defining an “Ethical Compass” for International Migration Policy,2006,International Migration
"Crawley, Heaven",Forced Migration and the Politics of Asylum: The Missing Pieces of the International Migration Puzzle?,2006,International Migration
"Babcock, Elizabeth Cooling",The Transformative Potential of Belizean Migrant Voluntary Associations in Chicago,2006,International Migration
"Al-Sharmani, Mulki",Living Transnationally: Somali Diasporic Women in Cairo,2006,International Migration
"Hess, Julia Meredith","Statelessness and the State: Tibetans, Citizenship, and Nationalist Activism in a Transnational World1",2006,International Migration
"Hugo, Graeme",An Australian Diaspora?,2006,International Migration
"Beiser, Morton",Learning the Language of a New Country: A Ten-year Study of English Acquisition by South-East Asian Refugees in Canada,2006,International Migration
"Song, Hyun Jong",Short-term Migration and the Acquisition of a World Language,2006,International Migration
"Terrio, Susan",The French Riots: Questioning Spaces of Surveillance and Sovereignty,2006,International Migration
"Balz, Michael J.",The October Riots in France: A Failed Immigration Policy or the Empire Strikes Back?,2006,International Migration
"Bowler, Shaun",Partisanship and Views about Immigration in Southern California: Just How Partisan is the Issue of Immigration?,2006,International Migration
"Ekberg, Jan",Occupational Mobility for Immigrants in Sweden,2006,International Migration
"Zheng, Jinghai","Earnings of Immigrants in Sweden, 1978 to 1999",2006,International Migration
"Rooth, Dan-Olof",How Integrated are Finns in the Swedish Labour Market? Outcomes of Free Labour Mobility,2006,International Migration
"Klinthäll, Martin",Retirement Return Migration from Sweden,2006,International Migration
"Spencer, Sarah","International Health Worker Mobility: Causes, Consequences, and Best Practices",2006,International Migration
"Gent, Saskia",Introduction,2006,International Migration
"Gent, Saskia",retorno sostenible en contextos posconflictos,2006,International Migration
"Williams, Rhodri C.",el significado de la restitución de propiedades para elretorno sostenible en bosnia y herzegovina,2006,International Migration
"Smit, Anneke Rachel","vivienda, restitución de propiedades y retorno de las pdi en kosovo",2006,International Migration
"Harvey, Joanna",dinámica de retorno en bosnia y croacia: unanálisis comparativo,2006,International Migration
"Stefansson, Anders H.","hogares que se reconforman: restitución de bienes, retorno de refugiados y sentimiento de pertenencia en un pueblo bosnio en la posguerra",2006,International Migration
"Eastmond, Marita",retornos transnacionales y reconstrucción en el periodo de posguerra en bosnia y herzegovina,2006,International Migration
"Adepoju, Aderanti","Placing International Migration in the Context of the 3D's: Demography, Development, and Democracy",2006,International Migration
"Latapí, Agustín Escobar","The Economy, Development, and Work in the Final Report of the GCIM1",2006,International Migration
"Hansen, Randall","Winners and Losers, Democrats and Demagogues, Welfare and Work: Commentary on the GCIM",2006,International Migration
,"Comparing Notes: Perspectives on Human Smuggling in Austria, Germany, Italy, and the Netherlands",2006,International Migration
"Jandl, Michael",EL TRÁFICO ILÍCITO DE PERSONAS COMOINDUSTRIATRANSNACIONAL DE SERVICIOS: PRUEBAS APORTADAS PORAUSTRIA,2006,International Migration
"Sciortino, Giuseppe",¿EL PUNTO VULNERABLEDEL SCHENGEN? LA MIGRACIÓN IRREGULAR Y EL TRÁFICO ILÍCITO DE PERSONAS POR LAS FRONTERAS TERRESTRES Y MARÍTIMAS HACIA ITALIA,2006,International Migration
"Neske, Matthias",EL TRÁFICO ILÍCITO DE PERSONAS HACIA ALEMANIA Y ATRAVÉS DEL PAÍS,2006,International Migration
"Doomernik, Jeroen",LA INFLUENCIA DE LOS MIGRANTES EN EL PROCESO DEL TRÁFICO ILÍCITO: PERSPECTIVAS DE LOS MIGRANTES OBJETO DE TRÁFICO ILÍCITO EN LOS PAÍSES BAJOS,2006,International Migration
"Herman, Emma",LAMIGRACIÓN COMO NEGOCIO FAMILIAR: EL PAPEL QUE DESEMPEÑAN LAS REDES PERSONALES EN LAFASE DE MOVILIDAD DE LAMIGRACIÓN,2006,International Migration
"Tsimbos, Cleon",The Impact of Migration on Growth and Ageing of the Population in a New Receiving Country: The Case of Greece,2006,International Migration
"Carens, Joseph H.","The Danish Cartoon Affair: Free Speech, Racism, Islamism, and Integration",2006,International Migration
"Capoferro, Chiara",LA MIGRACIÓN INTERNACIONAL Y EL GÉNERO EN AMÉRICA LATINA: UN ANÁLISIS COMPARATIVO,2006,International Migration
"Kler, Parvinder",LOS GRADUADOS CON VARIOS DIPLOMAS Y SUS EFECTOS EN LOS INMIGRANTES RECIÉN LLEGADOS A AUSTRALIA: UNA ENCUESTA LONGITUDINAL,2006,International Migration
"Wainer, Andrew",EL NUEVO SUR LATINO Y EL RETO QUE ELLO PLANTEA A LA EDUCACIÓN PÚBLICA,2006,International Migration
"Reynolds, Rachel R.","MUJERES PROFESIONALES NIGERIANAS, ECONOMÍA DEL HOGAR Y LA DECISIÓN DE EMIGRAR",2006,International Migration
"Cross, Sarah",High-level Dialogue on Migration and Development,2007,International Migration
"Sharaby, Rachel",HIBRIDACIÓN LOCAL EN ENTIDADES DE ABSORCIÓN,2007,International Migration
"Tilbury, Farida",INTEGRACIÓN EN EL MERCADO LABORAL AUSTRALIANO: LA EXPERIENCIA DE TRES GRUPOS “VISIBLEMENTE DISTINTOS” DE REFUGIADOS RECIÉN LLEGADOS,2007,International Migration
"Gálvez, Alyshia",“YO TAMBIÉN FUI INMIGRANTE”: UN ANÁLISIS DE LOS MODOS DE MOVILIZACIÓN DIVERGENTES DE DOS ORGANIZACIONES DE MIGRANTES MEXICANOS EN EL BRONX,2007,International Migration
"Cauchi, Stephanie",UNA PERSPECTIVA PSICOLÓGICA DE LAS POLÍTICAS DE ASILO DE AUSTRALIA,2007,International Migration
"Rubinstein, L.",BIENESTAR Y MALESTAR PSÍQUICOS DE INMIGRANTES RECIENTES: ESTUDIO LONGITUDINAL CUADRIENAL REALIZADO EN ISRAEL Y ALEMANIA,2007,International Migration
"Grim-Feinberg, Kate",EL FORTALECIMIENTO DEL CAPITAL SOCIAL A TRAVÉS DEL BILINGUISMO EN UNA SOCIEDAD MIGRANTE TRANSNACIONAL: LOS MEXICANOS DE LA ZONA SEPTENTRIONAL DEL ESTADO DE NUEVA YORK,2007,International Migration
"Van Krieken, Peter",Migrants' Rights and the Law of the Sea: Further Efforts to Ensure Universal Participation,2007,International Migration
"Plewa, Piotr",ASCENSO Y CAÍDA DE POLÍTICAS PARA TRABAJADORES EXTRANJEROS: LECCIONES PARA POLONIA,2007,International Migration
"Williams, Allan M.",PERSPECTIVAS DE CARA A LA DEPENDENCIA O A LA CREATIVIDAD EN LAS TRAYECTORIAS MIGRATORIAS: LAS EXPERIENCIAS ECONÓMICAS DE LOS MIGRANTES VIETNAMITAS EN ESLOVAQUIA,2007,International Migration
"Dzúrová, Dagmar","“¿A DÓNDE VAN?”: INSERCIÓN DE INMIGRANTES EN LA REPÚBLICA CHECA (UN ESTUDIO DE CASOS SOBRE LOS UCRANIOS, VIETNAMITAS Y ARMENIOS EN PRAGA)",2007,International Migration
"Schechter, Hava",ESTILOS SOCIALES Y ACADÉMICOS DE ADAPTACIÓN DE MUJERES ESTUDIANTES QUE INMIGRARON SOLAS DE LA EX UNIÓN SOVIÉTICA A ISRAEL,2007,International Migration
"Nonneman, Walter",Irregular Migration in Belgium and Organized Crime: An Overview1,2007,International Migration
"De Lange, Albertine",Child Labour Migration and Trafficking in Rural Burkina Faso,2007,International Migration
"Willen, Sarah S.",Exploring “Illegal” and “Irregular” Migrants' Lived Experiences of Law and State Power,2007,International Migration
"Willen, Sarah S.","Toward a Critical Phenomenology of “Illegality”: State Power, Criminalization, and Abjectivity among Undocumented Migrant Workers in Tel Aviv, Israel",2007,International Migration
"Holmes, Seth M.",“Oaxacans Like to Work Bent Over”: The Naturalization of Social Suffering among Berry Farm Workers,2007,International Migration
"Tormey, Anwen",“Everyone with Eyes Can See the Problem”: Moral Citizens and the Space of Irish Nationhood,2007,International Migration
"Laubenthal, Barbara",The Emergence of Pro-Regularization Movements in Western Europe,2007,International Migration
"Rosenthal, Anat","Battling for Survival, Battling for Moral Clarity: “Illegality” and Illness in the Everyday Struggles of Undocumented HIV+ Women Migrant Workers in Tel Aviv",2007,International Migration
"Parla, Ayse",Irregular Workers or Ethnic Kin? Post-1990s Labour Migration from Bulgaria to Turkey,2007,International Migration
"Peutz, Nathalie","Out-laws: Deportees, Desire, and “The Law”",2007,International Migration
"Chavez, Leo R.",The Condition of Illegality,2007,International Migration
"Heyman, Josiah McC.",Grounding Immigrant Rights Movements in the Everyday Experience of Migration,2007,International Migration
"Carling, Jørgen",Unauthorized Migration from Africa to Spain,2007,International Migration
"De Haas, Hein",Morocco's Migration Experience: A Transitional Perspective1,2007,International Migration
"Zimmermann, Klaus F.","What Makes an Entrepreneur and Does it Pay? Native Men, Turks, and Other Migrants in Germany",2007,International Migration
"White, Michael J.",Health Status of Temporary Migrants in Urban Areas in Vietnam1,2007,International Migration
"Boehm, Amnon",Immigrant Participation in Decision-Making Processes at the Local Level: A Comparison of Immigrants and Veterans in Israel,2007,International Migration
"Hugo, Graeme",Temporary Skilled Migration to Australia: Employers' Perspectives1,2007,International Migration
"Ogren, Cassandra",Migration and Human Rights on the Mexico-Guatemala Border,2007,International Migration
"Taengnoi, Sarinda",Occupational Choice of High Skilled Immigrants in the United States,2007,International Migration
"Peters, Krijn",Reintegration Support for Young Ex-Combatants: A Right or a Privilege?,2007,International Migration
"White, Roger",An Examination of the Danish Immigrant-Trade Link,2007,International Migration
"Pedersen, Peder J.",To Stay or Not to Stay? Out-Migration of Immigrants from Denmark,2007,International Migration
"Campbell, Eugene K.",Brain Drain Potential in Botswana,2007,International Migration
"Tannenbaum, Michal",Back and Forth: Immigrants' Stories of Migration and Return,2007,International Migration
"DeVoretz, Don",An Auction Model of Canadian Temporary Immigration for the 21st Century,2008,International Migration
"Zarrugh, Laura",The Latinization of the Central Shenandoah Valley,2008,International Migration
"Lincoln, Alisa",Hunger: The Silent Epidemic Among Asylum Seekers and Resettled Refugees,2008,International Migration
"Fox, Margaret",Gender and Migration in the Central Valleys of Oaxaca,2008,International Migration
"Nsowah-Nuamah, N.N.N.","Remittances in Ghana: Origin, Destination and Issues of Measurement",2008,International Migration
"Boni, Alejandra",The Role of Emigration in Foreign Aid Policies: The Case of Spain and Morocco,2008,International Migration
"Federico, Christopher",Rural Residence as a Determinant of Attitudes Toward US Immigration Policy,2008,International Migration
"Liu, Guofu",The Right to Return in China,2008,International Migration
"Koser, Khalid",Why Migrant Smuggling Pays,2008,International Migration
"Mulaj, Klejda","Forced Displacement in Darfur, Sudan: Dilemmas of Classifying the Crimes",2008,International Migration
"Brandon, Peter",The Health Risk Behaviours and Social Connectedness of Adolescents in Immigrant Families: Evidence from Australia,2008,International Migration
"Sousa-Poza, Alfonso",Migration Policy and Industrial Structure: The Case of Switzerland,2008,International Migration
"Bauder, Harald",Explaining Attitudes towards Self-employment among Immigrants: A Canadian Case Study,2008,International Migration
"Godin, Jean-François",Immigrant Economic Integration: A Prospective Analysis over Ten Years of Settlement,2008,International Migration
"Bankston, Carl L.","Military Brides and Refugees: Vietnamese American Wives and Shifting Links to the Military, 1980 – 2000",2008,International Migration
"Kau, Marcel",The Agreement on Passenger-Data Transfer (PNR) and the EU-US Cooperation in Data Communication,2008,International Migration
"Hatløy, Anne",Child Labour in West Africa: Different Work – Different Vulnerabilities,2008,International Migration
"Ayata, Sencer","Migrants and Changing Urban Periphery: Social Relations, Cultural Diversity and the Public Space in Istanbul’s New Neighbourhoods",2008,International Migration
"Dresner, Jonathan",International Labour Migrants’ Return to Meiji-era Yamaguchi and Hiroshima: Economic and Social Effects,2008,International Migration
"Lee, Maggy",Policing Chinese Migrant Sex Workers in Hong Kong,2008,International Migration
"Spitzer, Denise",Multicultural Meanings of Social Support among Immigrants and Refugees,2008,International Migration
"Tani, Massimiliano",Short-Term Skilled Labour Movements and Economic Growth,2008,International Migration
"Avogo, Winfred",Forced Migration and HIV/AIDS Risks in Angola,2008,International Migration
"Lee, Jungwhan",Migrant Workers and HIV Vulnerability in Korea,2008,International Migration
"Lam, Theodora",Asian Transnational Families in Transition: The Liminality of Simultaneity,2008,International Migration
"Voigt-Graf, Carmen",Migration and Transnational Families in Fiji: Comparing Two Ethnic Groups,2008,International Migration
"Bedford, Richard",Asian Transnational Families in New Zealand: Dynamics and Challenges,2008,International Migration
"Spoonley, Paul",Intergenerational Transnationalism: 1.5 Generation Asian Migrants in New Zealand1,2008,International Migration
"Lauser, Andrea",Philippine Women on the Move: Marriage across Borders,2008,International Migration
"Yea, Sallie",Married to the Military: Filipinas Negotiating Transnational Families,2008,International Migration
"Lynn-Ee Ho, Elaine",“Flexible Citizenship” or Familial Ties that Bind? Singaporean Transmigrants in London,2008,International Migration
"Haque Khondker, Habibul","Bengali-Speaking Families in Singapore: Home, Nation and the World",2008,International Migration
"Plewa, Piotr",Report of the Seminar on Migration and Development on the Polish-Ukrainian Border,2008,International Migration
"Raman, Parvathi","Less than Human? Diaspora, Disease and the Question of Citizenship",2008,International Migration
"Bastos, Cristiana","Migrants, Settlers and Colonists: The Biopolitics of Displaced Bodies",2008,International Migration
"Prost, Audrey",Contagion and its Guises: Inequalities and Disease among Tibetan Exiles in India,2008,International Migration
"O’Keefe, Eileen",Pachedu-Zenzele in the Diaspora: Promoting Sexual Health Amongst Zimbabweans in England,2008,International Migration
"Waldstein, Anna",Diaspora and Health? Traditional Medicine and Culture in a Mexican Migrant Community,2008,International Migration
"Power, David V.",The Birth of the African-Irish Diaspora: Pregnancy and Post-Natal Experiences of African Immigrant Women in Ireland,2008,International Migration
"Griffith, Laura","Complaints, Sensitivities and Responsibility: An Ethnographic Investigation into the Debates Concerning the Care of Bangladeshi Mothers in the East End",2008,International Migration
"Foner, Nancy",Gender and Migration: West Indians in Comparative Perspective,2009,International Migration
"De Jong, Gordon F.",Individual versus Household Migration Decision Rules: Gender and Marital Status Differences in Intentions to Migrate in South Africa,2009,International Migration
"Eisikovits, Rivka A.","Migration, Motherhood, Marriage: Cross-Cultural Adaptation of North American Immigrant Mothers in Israel",2009,International Migration
"Cvetkovic, Anita",The Integration of Immigrants in Northern Sweden: A Case Study of the Municipality of Strömsund,2009,International Migration
"Rosenow, Kerstin",The Europeanisation of Integration Policies,2009,International Migration
"Garapich, Michal",Poles Apart? EU Enlargement and the Labour Market Outcomes of Immigrants in the United Kingdom,2009,International Migration
"Thaut, Laura",EU Integration & Emigration Consequences: The Case of Lithuania,2009,International Migration
"Goldring, Luin",Transnationalizing Families: Canadian Immigration Policy and the Spatial Fragmentation of Care-giving among Latin American Newcomers1,2009,International Migration
"Grayson, J. Paul","Language Background, Ethno-Racial Origin, and Academic Achievement of Students at a Canadian University",2009,International Migration
"Hou, Feng",Immigrants working with co-ethnics: Who are they and how do they fare?,2009,International Migration
"Leach, Michael",The Evolution of the Temporary Protection Visa Regime in Australia,2009,International Migration
"Gao, Jia",Lobbying to Stay: the Chinese Students’ Campaign to Stay in Australia,2009,International Migration
"Miller, Paul W.",The Impact of Immigrant Status on Home Ownership in Australia,2009,International Migration
"Howard, Robert W.",The Migration of Westerners to Thailand: An Unusual Flow From Developed to Developing World,2009,International Migration
"Jayagupta, Ratchada",The Thai Government’s Repatriation and Reintegration Programmes: Responding to Trafficked Female Commercial Sex Workers from the Greater Mekong Subregion,2009,International Migration
"Martin, Susan",Introduction to the Special Issue on Migration in the Lusophone World,2009,International Migration
"Baganha, Maria I.",The Lusophone Migratory System: Patterns and Trends,2009,International Migration
"Marques, José Carlos",Portugal as a Semi-peripheral Country in the Global Migration System,2009,International Migration
"Lubkemann, Stephen C.",From Circular Migrants in the Mines to Transnational Polygynists in the Townships: A Century of Transformation in Central Mozambican Male Migration Regimes (1900-1999),2009,International Migration
"Raimundo, Inês M.",International Migration Management and Development in Mozambique: What Strategies?,2009,International Migration
"Åkesson, Lisa",Mobility at the Heart of a Nation: Patterns and Meanings of Cape Verdean Migration,2009,International Migration
"Matos, Elizabeth D.","Post-Colonial Portuguese Migration to Mozambique: An examination of causes, effects and future implications for development",2009,International Migration
"Peixoto, João","New Migrations in Portugal: Labour Markets, Smuggling and Gender Segmentation",2009,International Migration
"Skeldon, Ronald","Of Skilled Migration, Brain Drains and Policy Responses*",2009,International Migration
"Iredale, Robyn","“Luring Overseas Trained Doctors to Australia: Issues of Training, Regulating and Trading”",2009,International Migration
"Murakami, Yukiko",Incentives for International Migration of Scientists and Engineers to Japan,2009,International Migration
"Logan, B. Ikubolajeh",The Reverse and Return Transfer of Technology (RRTT): Towards a Comprehensive Model of the Migration of African Experts,2009,International Migration
"Lincoln, David",Labour Migration in the Global Division of Labour: Migrant workers in Mauritius1,2009,International Migration
"Cheng, Lee-Joy","Relationships between Economics, Welfare, Social Network Factors, and Net Migration in the United States",2009,International Migration
"Skeldon, Ronald",Strengthening Data and Research Tools on Migration and Development,2009,International Migration
"Hugo, Graeme",Best Practice in Temporary Labour Migration for Development: A Perspective from Asia and the Pacific,2009,International Migration
"Latapí, Agustín Escobar",Can Migration Foster Development in Mexico? The Case of Poverty and Inequality,2009,International Migration
"Abimourched, Rola",Migrant Rights: International Law and National Action,2009,International Migration
"Schaeffer, Peter",Refugees: On the Economics of Political Migration,2010,International Migration
"Wickham, Kylie",Adaptation of Sudanese Refugees in an Australian Context: Investigating Helps and Hindrances,2010,International Migration
"Ali, Ahmed","Culture, Structure, and the Refugee Experience in Somali Immigrant Family Transformation",2010,International Migration
"Vedder, Paul",Learning Strategies of Highly Educated Refugees in the Netherlands: Habitus or Calculation?,2010,International Migration
"Lukić, Vesna",Could Refugees Have a Significant Impact on the Future Demographic Change of Serbia?,2010,International Migration
"Witlox, Frank",Asylum Legislation and Asylum Applications: A Geographical Analysis of Belgian Asylum Policy by Country of Origin (1992-2003),2010,International Migration
"Andrijasevic, Rutvica",DEPORTED: The Right to Asylum at EU’s External Border of Italy and Libya1,2010,International Migration
"Freedman, Jane",Protecting Women Asylum Seekers and Refugees: From International Norms to National Protection?,2010,International Migration
"Zimmermann, Susan",Why Seek Asylum? The Roles of Integration and Financial Support,2010,International Migration
"Oguzhan, Channe Lindstrøm",Humanising Exile. But a Few Untold Stories,2010,International Migration
"Van Wijk, Joris",Luanda – Holanda: Irregular Migration from Angola to the Netherlands,2010,International Migration
"Mazzucato, Valentina",The Role of Support Networks in the Initial Stages of Integration: The Case of West African Newcomers in the Netherlands,2010,International Migration
"Caselli, Marco","Integration, Participation, Identity: Immigrant Associations in the Province of Milan",2010,International Migration
"Hagelund, Anniken",Dealing with the Dilemmas: Integration at the Street-level in Norway,2010,International Migration
"Klvaňová, Radka",Moving Through Social Networks: The Case of Armenian Migrants in the Czech Republic,2010,International Migration
"Bagić, Dragan",Serb Returnees in Croatia – the Question of Return Sustainability1,2010,International Migration
"Koser Akcapar, Sebnem",Re-Thinking Migrants’ Networks and Social Capital: A Case Study of Iranians in Turkey,2010,International Migration
"Ghimire, Dirgha J.",Community Services and Out-Migration,2010,International Migration
"Zoomers, Annelies",Europe’s Migration Agreements with Migrant-Sending Countries in the Global South: A Critical Review,2010,International Migration
"Raghuram, Parvati",International Migration and Development in Asia: Exploring Knowledge Frameworks,2010,International Migration
"Glytsos, Nicholas P.",Theoretical Considerations and Empirical Evidence on Brain Drain Grounding the Review of Albania’s and Bulgaria’s Experience1,2010,International Migration
"Tessema, Mussie","Causes, Challenges and Prospects of Brain Drain: The Case of Eritrea",2010,International Migration
"Holakouee, Farhang",A Desire to Return to the Country of Birth as a Function of Language Preference: An Empirical Study with Iranian Immigrants in the United States,2010,International Migration
"Spiegel, Svetlana",Religious Status and Drug-use Behaviour among Former Soviet Union Immigrants,2010,International Migration
"Sanderson, Matthew R.",“Reconsidering the Study of International Migration: A Way Forward for Macrostructural Migration Research”,2010,International Migration
"Surtees, Rebecca",Untold Stories: Biases and Selection Effects in Research with Victims of Trafficking for Sexual Exploitation,2010,International Migration
"Laczko, Frank",Trafficking in Persons and Development: Towards Greater Policy Coherence,2010,International Migration
"Berman, Jacqueline","Biopolitical Management, Economic Calculation and “Trafficked Women”",2010,International Migration
"Galli, Thomas V.",Economics of Human Trafficking,2010,International Migration
"Jureidini, Ray",Trafficking and Contract Migrant Workers in the Middle East,2010,International Migration
"Broekaert, Eric",Minors Travelling Alone: A Risk Group for Human Trafficking?,2010,International Migration
"Stančová, Kateřina",Assisted Voluntary Return of Irregular Migrants: Policy and Practice in the Slovak Republic,2010,International Migration
"Tyldum, Guri",Limitations in Research on Human Trafficking*,2010,International Migration
"Casey, John P.",Open Borders: Absurd Chimera or Inevitable Future Policy?,2010,International Migration
"Singh, Bhupal",Workers’ Remittances to India: An Examination of Transfer Cost and Efficiency,2010,International Migration
"Kuckulenz, Anja",Worker Remittances and Capital Flows to Developing Countries,2010,International Migration
"Cavounidis, Jennifer","Immigrant Remittances, Stability of Employment and Relative Deprivation",2010,International Migration
"Pinger, Pia",Come Back or Stay? Spend Here or There? Return and Remittances: The Case of Moldova,2010,International Migration
"Rukumnuaykit, Pungpond",Economic Contribution of Migrant Workers to Thailand,2010,International Migration
"Sachikonye, Lloyd",Migrant Remittances and Household Wellbeing in Urban Zimbabwe,2010,International Migration
"Yeoh, Brenda S.A.","Introduction to the Special Issue on Women and Migration in Globalizing Asia: Gendered Experiences, Agency, and Activism",2010,International Migration
"Pearson, Ruth","Transborder Migration, Social Reproduction and Economic Development: A Case Study of Burmese Women Workers in Thailand",2010,International Migration
"Elias, Juanita","Transnational Migration, Gender, and Rights: Advocacy and Activism in the Malaysian Context",2010,International Migration
"Newendorp, Nicole","“Economically Speaking, I am the Breadwinner”: Chinese Immigrant Narratives of Work and Family in Hong Kong",2010,International Migration
"Sajor, Edsel E.",“Not a Real Worker”: Gendering Migrants in Thailand’s Shrimp Farms,2010,International Migration
"Arnado, Janet M.",Performances across Time and Space: Drama in the Global Households of Filipina Transmigrant Workers,2010,International Migration
"Lustig, Stuart","Voice, Agency and Vulnerability: the Immigration of Children through Systems of Protection and Enforcement",2011,International Migration
"Kromhout, Mariska",Return of Separated Children: The Impact of Dutch Policies,2011,International Migration
"Düvell, Franck",Introduction,2011,International Migration
"Jandl, Michael","Methods, Approaches and Data Sources for Estimating Stocks of Irregular Migrants",2011,International Migration
"Prescott, Hannah",The Size of the Irregular Migrant Population in the European Union – Counting the Uncountable?,2011,International Migration
"Reichel, David",Measuring Irregular Migration and Population Flows – What Available Data Can Tell,2011,International Migration
"Gmaj, Katarzyna",Irregular Migration and Informal Economy in Southern and Central-Eastern Europe: Breaking the Vicious Cycle?,2011,International Migration
